Year,Number of Deaths,Female Deaths,Male Deaths
1999,16849,5591,11258
2000,17415,5852,11563
2001,19394,6736,12658
2002,23518,8490,15028
2003,25785,9386,16399
2004,27424,10304,17120
2005,29813,11089,18724
2006,34425,12532,21893
2007,36010,13712,22298
2008,36450,13982,22468
2009,37004,14411,22593
2010,38329,15323,23006
2011,41340,16352,24988
2012,41502,16390,25112
2013,43982,17183,26799
2014,47055,18243,28812
2015,52404,19447,32957
2016,63632,22074,41558
2017,70237,23685,46552
